system,n_generations,judge_raw [95% CI],judge_pass_rate [95% CI],accuracy [95% CI],bleu [95% CI],rouge [95% CI],meteor [95% CI],chrf [95% CI],bertscore [95% CI],moverscore [95% CI],semantic_similarity [95% CI]
claude-sonnet-4-6,531,"84.1 [82.2, 86.0]","84.6% [81.4, 87.6]","73.8% [70.1, 77.6]","0.028 [0.026, 0.031]","0.147 [0.143, 0.150]","0.233 [0.227, 0.240]","0.425 [0.419, 0.431]","0.220 [0.213, 0.226]","0.843 [0.841, 0.845]","0.729 [0.719, 0.738]"
gemini-3.1-pro-preview,531,"82.8 [80.9, 84.7]","86.1% [83.1, 89.1]","76.6% [73.1, 80.2]","0.033 [0.030, 0.036]","0.164 [0.160, 0.169]","0.212 [0.204, 0.220]","0.414 [0.407, 0.420]","0.250 [0.244, 0.257]","0.840 [0.838, 0.842]","0.745 [0.737, 0.753]"
claude-opus-4-7,531,"82.4 [80.5, 84.4]","84.9% [81.7, 87.9]","74.8% [71.0, 78.5]","0.030 [0.027, 0.033]","0.159 [0.155, 0.164]","0.210 [0.203, 0.217]","0.415 [0.409, 0.421]","0.247 [0.240, 0.254]","0.838 [0.836, 0.841]","0.740 [0.731, 0.749]"
gpt-5.4,531,"81.8 [79.7, 83.9]","81.7% [78.2, 84.7]","74.0% [70.2, 77.4]","0.031 [0.029, 0.034]","0.160 [0.156, 0.165]","0.210 [0.203, 0.217]","0.421 [0.415, 0.426]","0.249 [0.242, 0.256]","0.845 [0.843, 0.847]","0.758 [0.750, 0.767]"
deepseek-ai/DeepSeek-V4-Pro,531,"74.9 [72.5, 77.1]","75.9% [71.9, 79.5]","66.7% [62.5, 70.4]","0.030 [0.027, 0.033]","0.161 [0.157, 0.166]","0.210 [0.203, 0.216]","0.419 [0.413, 0.425]","0.245 [0.238, 0.252]","0.843 [0.841, 0.845]","0.752 [0.743, 0.761]"
gemini-3.1-flash-lite-preview,531,"74.8 [72.5, 77.0]","76.1% [72.3, 79.5]","70.6% [66.7, 74.4]","0.029 [0.026, 0.032]","0.162 [0.157, 0.167]","0.187 [0.180, 0.194]","0.394 [0.387, 0.401]","0.253 [0.246, 0.260]","0.838 [0.836, 0.840]","0.753 [0.744, 0.761]"
gpt-5.4-mini,531,"73.0 [70.5, 75.3]","71.6% [67.6, 75.3]","65.7% [61.8, 69.5]","0.028 [0.025, 0.031]","0.162 [0.158, 0.167]","0.177 [0.171, 0.184]","0.380 [0.373, 0.387]","0.250 [0.243, 0.257]","0.839 [0.837, 0.841]","0.755 [0.746, 0.764]"
Qwen/Qwen3.6-35B-A3B,531,"72.4 [69.8, 74.7]","71.0% [66.9, 74.6]","67.6% [63.5, 71.4]","0.027 [0.024, 0.029]","0.154 [0.150, 0.159]","0.181 [0.173, 0.188]","0.387 [0.380, 0.394]","0.239 [0.232, 0.246]","0.834 [0.832, 0.836]","0.747 [0.738, 0.756]"
Qwen/Qwen3.5-122B-A10B,526,"71.8 [69.4, 74.0]","77.0% [73.2, 80.4]","73.4% [69.6, 77.0]","0.026 [0.023, 0.030]","0.165 [0.159, 0.171]","0.157 [0.149, 0.165]","0.326 [0.317, 0.335]","0.252 [0.243, 0.260]","0.827 [0.824, 0.829]","0.742 [0.732, 0.751]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,531,"71.6 [69.4, 73.9]","76.1% [72.5, 79.7]","69.3% [65.3, 73.1]","0.035 [0.032, 0.038]","0.175 [0.170, 0.181]","0.199 [0.192, 0.207]","0.388 [0.380, 0.395]","0.254 [0.247, 0.262]","0.845 [0.842, 0.847]","0.747 [0.737, 0.756]"
deepseek-ai/DeepSeek-V4-Flash,530,"71.1 [68.7, 73.3]","72.3% [68.5, 76.0]","64.3% [60.2, 68.5]","0.031 [0.029, 0.034]","0.164 [0.159, 0.168]","0.209 [0.202, 0.217]","0.412 [0.406, 0.419]","0.249 [0.242, 0.256]","0.841 [0.839, 0.843]","0.749 [0.740, 0.758]"
Qwen/Qwen3-235B-A22B-Thinking-2507,531,"70.3 [68.0, 72.7]","72.3% [68.5, 76.1]","70.1% [66.5, 73.8]","0.025 [0.023, 0.027]","0.156 [0.151, 0.161]","0.167 [0.161, 0.174]","0.374 [0.367, 0.381]","0.241 [0.234, 0.247]","0.824 [0.822, 0.826]","0.740 [0.731, 0.750]"
